restaurant_id,name,price,city,region,timing,rating_type,rating,votes,url
1,Hitchki,1200.0,Mumbai,First International Financial Centre-- Bandra Kurla Complex,12noon to 130am(Mon-Sun),Excellent,4.9,3529.0,https://www.zomato.com/mumbai/hitchki-bandra-kurla-complex/info
2,Baba Falooda,400.0,Mumbai,Mahim,2pm to 1am(Mon-Sun),Very Good,4.4,1723.0,https://www.zomato.com/mumbai/baba-falooda-mahim/info
3,Chin Chin Chu,1800.0,Mumbai,Juhu,12noon to 1am(Mon-Sun),Very Good,4.2,337.0,https://www.zomato.com/mumbai/chin-chin-chu-juhu/info
4,Butterfly High,1000.0,Mumbai,Bandra Kurla Complex,12noon to 130am(Mon-Sun),Very Good,4.3,1200.0,https://www.zomato.com/mumbai/butterfly-high-bandra-kurla-complex/info
5,BKC  DIVE,1200.0,Mumbai,Bandra Kurla Complex,1130am to 1am(Mon-Sun),Veľmi dobré,4.4,5995.0,https://www.zomato.com/mumbai/bkc-dive-bandra-kurla-complex/info
6,Flea Bazaar Café,800.0,Mumbai,Flea Bazaar Café,12noon to 1am(Mon-Sun),Very Good,4.2,2042.0,https://www.zomato.com/fleabazaarcafe/info
7,Persian Darbar,1300.0,Mumbai,Marol,10am to 3am(Mon-Sun),Excellent,4.5,3058.0,https://www.zomato.com/mumbai/persian-darbar-marol/info
8,Tanatan,1500.0,Mumbai,Juhu,12noon to 130am(Mon-Sun),Excellent,4.7,1842.0,https://www.zomato.com/mumbai/tanatan-juhu/info
9,Cafe Safar,600.0,Mumbai,Oshiwara-- Andheri West,11am to 1am(Mon-Sun),Very Good,4.0,2797.0,https://www.zomato.com/mumbai/cafe-safar-oshiwara/info
10,Plum by Bent Chair,1800.0,Mumbai,Kamala Mills Compound,12noon to 1am(Mon-Sun),Excellent,4.7,1876.0,https://www.zomato.com/mumbai/plum-by-bent-chair-lower-parel/info
11,Angrezi Dhaba,1500.0,Mumbai,Dadar West,12noon to 1am(Mon-Sun),Excellent,4.5,2092.0,https://www.zomato.com/mumbai/angrezi-dhaba-1-dadar-west/info
12,Raasta,1200.0,Mumbai,Khar,12noon to 1am(Mon-Sun),Very Good,4.0,3191.0,https://www.zomato.com/mumbai/raasta-khar/info
13,Todi Mill Social,1400.0,Mumbai,Lower Parel,"9am to 1am(Mon),9am to 130am(Tue-Sun)",Excellent,4.6,5805.0,https://www.zomato.com/TodiMillSocial/info
14,Burn - Bar & Kitchen,1100.0,Mumbai,Bandra Kurla Complex,"1130am to 5am(Mon),1130am to 130am(Tue,Wed...",Very Good,4.1,1510.0,https://www.zomato.com/mumbai/burn-bar-kitchen-bandra-kurla-complex/info
15,145 Bandra,1300.0,Mumbai,Pali Hill-- Bandra West,12noon to 130am(Mon-Sun),Very Good,4.2,1552.0,https://www.zomato.com/mumbai/145-bandra-pali-hill-bandra-west/info
16,NAME,,CITY,REGION,TIMING,RATING_TYPE,,,URL
17,Cafe Zoe,2000.0,Mumbai,Lower Parel,730am to 130am(Mon-Sun),Very Good,4.1,3283.0,https://www.zomato.com/mumbai/cafe-zoe-lower-parel/info
18,Ustaadi,1200.0,Mumbai,Mumbai CST Area,"12noon to 4pm,7pm to 4am(Mon-Sun)",Very Good,4.3,1088.0,https://www.zomato.com/mumbai/ustaadi-cst/info
19,Cafe Maaz,350.0,Mumbai,Bhandup,8am to 1230AM(Mon-Sun),Very Good,4.0,881.0,https://www.zomato.com/mumbai/cafe-maaz-bhandup/info
20,Carter's Blue,900.0,Mumbai,Malad West,12noon to 1230AM(Mon-Sun),Good,3.9,898.0,https://www.zomato.com/mumbai/carters-blue-malad-west/info
21,Rajasthan,700.0,Mumbai,Khar,12noon to 1am(Mon-Sun),Good,3.8,688.0,https://www.zomato.com/mumbai/rajasthan-khar/info
22,Harry's Bar + Cafe,1500.0,Mumbai,Powai,"Closed(Mon),12noon to 130am(Tue-Sun)",Very Good,4.0,1967.0,https://www.zomato.com/mumbai/harrys-bar-cafe-powai/info
23,New Ajwa Family Restaurant,500.0,Mumbai,Marol,10am to 4am(Mon-Sun),Very Good,4.4,316.0,https://www.zomato.com/mumbai/new-ajwa-family-restaurant-marol/info
24,Singh Saab,1600.0,Mumbai,Chembur,"12noon to 3pm,7pm to 1230AM(Mon-Sun)",Excellent,4.5,2214.0,https://www.zomato.com/mumbai/singh-saab-chembur/info
25,Kasbah Grand,1400.0,Mumbai,Goregaon West,"12noon to 130am(Mon-Fri),12noon to 3am(Sat-Sun)",Very Good,4.0,2280.0,https://www.zomato.com/mumbai/kasbah-grand-goregaon-west/info
26,Elementaria Bakery Cafe,800.0,Mumbai,Lower Parel,10am to 130am(Mon-Sun),Very Good,4.1,693.0,https://www.zomato.com/mumbai/elementaria-bakery-cafe-lower-parel/info
27,Angrezi Patiyalaa,1200.0,Mumbai,Andheri Lokhandwala-- Andheri West,12noon to 1230AM(Mon-Sun),Excellent,4.5,271.0,https://www.zomato.com/mumbai/angrezi-patiyalaa-andheri-lokhandwala/info
28,Door No.1,1500.0,Mumbai,Reclamation-- Bandra West,11am to 1am(Mon-Sun),Very Good,4.4,870.0,https://www.zomato.com/mumbai/door-no-1-reclamation-bandra-west/info
29,Natural Ice Cream,150.0,Mumbai,Vile Parle East,11am to 1am(Mon-Sun),Very Good,4.3,621.0,https://www.zomato.com/mumbai/natural-ice-cream-vile-parle-east/info
30,Punjab Grill,2000.0,Mumbai,Palladium Mall-- Lower Parel,12noon to 1am(Mon-Sun),Velmi dobré,4.4,3376.0,https://www.zomato.com/mumbai/punjab-grill-lower-parel/info
31,Locco Eatery & Bar,1400.0,Mumbai,CBD-Belapur,12noon to 130am(Mon-Sun),Very Good,4.3,424.0,https://www.zomato.com/mumbai/locco-eatery-bar-cbd-belapur-navi-mumbai/info
32,NAME,,CITY,REGION,TIMING,RATING_TYPE,,,URL
33,Hotel Annapoorna Refreshments,400.0,Mumbai,Ghansoli,1030am to 1230AM(Mon-Sun),Not rated,,,https://www.zomato.com/mumbai/hotel-annapoorna-refreshments-ghansoli-navi-mumbai/info
34,Breadkart,400.0,Mumbai,Borivali West,4pm to 230am(Mon-Sun),Good,3.6,38.0,https://www.zomato.com/mumbai/breadkart-borivali-west/info
35,Biryani 9,600.0,Mumbai,Near Andheri East Station,11am to 3am(Mon-Sun),,,,https://www.zomato.com/mumbai/biryani-9-near-andheri-east-station/info
36,The Lemon Grass,300.0,Mumbai,Vasai,"12noon to 330pm,430pm to 2am(Mon-Sun)",Average,3.4,33.0,https://www.zomato.com/mumbai/the-lemon-grass-2-vasai/info
37,D Fusion Flavours,350.0,Mumbai,Goregaon East,"12noon to 330pm,7pm to 3am(Mon-Sun)",,,,https://www.zomato.com/mumbai/d-fusion-flavours-goregaon-east/info
38,Chote Nawab,550.0,Mumbai,Chembur,"12midnight to 130am,12noon to 12midnight...",Very Good,4.0,264.0,https://www.zomato.com/mumbai/chote-nawab-chembur/info
39,Hari Om Sai,300.0,Mumbai,Castle Mill-- Thane West,11am to 1230AM(Mon-Sun),Average,3.4,8.0,https://www.zomato.com/mumbai/hari-om-sai-castle-mill-thane-west/info
40,Nation Tadka,400.0,Mumbai,Worli,12noon to 1230AM(Mon-Sun),Not rated,,,https://www.zomato.com/mumbai/nation-tadka-worli/info
41,Persian Hub Family Restaurant,450.0,Mumbai,Malad West,"12noon to 330pm,7pm to 330am(Mon,Tue,Wed...",Average,3.0,72.0,https://www.zomato.com/mumbai/persian-hub-family-restaurant-malad-west/info
42,Magdalena,500.0,Mumbai,Parel,10am to 1230AM(Mon-Sun),Average,3.4,10.0,https://www.zomato.com/mumbai/magdalena-parel/info
43,United Food Nation,500.0,Mumbai,Vasant Vihar-- Thane West,1pm to 1am(Mon-Sun),Very Good,4.1,303.0,https://www.zomato.com/mumbai/united-food-nation-vasant-vihar-thane-west-thane/info
44,Frisbees,600.0,Mumbai,Andheri Lokhandwala-- Andheri West,12noon to 12midnight(Mon-Sun),Very Good,4.3,2266.0,https://www.zomato.com/mumbai/frisbees-andheri-lokhandwala/info
45,Bombay Vintage,1300.0,Mumbai,Colaba,12noon to 12midnight(Mon-Sun),Very Good,4.2,437.0,https://www.zomato.com/mumbai/bombay-vintage-1-colaba/info
